x,y,z,rx,ry,rz,vx,vy,vz,vrx,vry,vrz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
-0.4026332460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.1,0.0,0.0,0.0,0.0,0.0,0.5678778195649465,-1.1093873329208144,1.6702379423443263,-0.036827101318198274,1.609139969292592,0.022150379177790395,0.11346612456165404,-0.14352249803408296,0.22559074955536795,-0.07989023163881515,0.09824044110096408,0.05681655503404997
-0.40183324607009474,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.1,0.0,0.0,0.0,0.0,0.0,0.5687867464335732,-1.1105346809083767,1.672040772041689,-0.037464956386242254,1.6099269259599043,0.022605525270221232,0.11376574315278686,-0.14331448586312226,0.2251167334580405,-0.07957354388738819,0.09849885135322954,0.056970059833356616
-0.4010332460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.1,0.0,0.0,0.0,0.0,0.0,0.5696980738668316,-1.111680364477397,1.6738398110062898,-0.038100278150329056,1.6107159529259354,0.02306190160630031,0.11406626603367363,-0.14310639223239,0.22464306485069716,-0.07925690486158272,0.09875801598901329,0.057124116324046695
-0.4002396460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.09679999999999989,0.0,0.0,0.0,0.0,0.0,0.5706044896513589,-1.1128152374094649,1.6756207149976332,-0.03872801472051782,1.6115007191494457,0.0235158468097787,0.11070559108863277,-0.13832707994383478,0.21699996735802105,-0.07641667148753116,0.09584734656185072,0.05544460808449951
-0.3994908460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.09039999999999987,0.0,0.0,0.0,0.0,0.0,0.5714619157493019,-1.1138845418642522,1.6772976685158676,-0.03931802936662067,1.6122430628557884,0.023945284018472342,0.10364200310527588,-0.1290052584788951,0.20225262436484948,-0.07109647663820962,0.08973087664732719,0.051910123370420086
-0.3987932460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.08399999999999985,0.0,0.0,0.0,0.0,0.0,0.5722626233836998,-1.1148794177646222,1.6788569764862848,-0.03986570492616734,1.6129362938706269,0.024346337958637807,0.09652654777290559,-0.11971951924641377,0.18758759416382523,-0.06583124921693956,0.08356966867539213,0.04834908025365433
-0.3981468460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.07759999999999984,0.0,0.0,0.0,0.0,0.0,0.5730062114223269,-1.1158001436348215,1.6802992737698952,-0.04037146552864491,1.6135800662235025,0.024718803145442707,0.08936268473182483,-0.11046732840175734,0.17299896989305996,-0.06061708736560739,0.07736671283444248,0.04476322916381967
-0.39755164607009474,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.07119999999999982,0.0,0.0,0.0,0.0,0.0,0.5736923065976056,-1.1166469777170638,1.6816251480528286,-0.040835704102698975,1.6141740580221973,0.025062488210935024,0.0821539199468034,-0.10124614920134316,0.1584808642934345,-0.055450092609549056,0.07112503802149774,0.04115434857304245
-0.3970076460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.06479999999999986,0.0,0.0,0.0,0.0,0.0,0.5743205638637865,-1.1174201579466114,1.6828351399937898,-0.041258782400401345,1.6147179717510398,0.025377216120682174,0.07490380234707272,-0.09205344159482705,0.14402740739905776,-0.050326369175175634,0.06484770900528353,0.037524243063218145
-0.3965148460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.05839999999999984,0.0,0.0,0.0,0.0,0.0,0.5748906667270874,-1.1181199019241874,1.6839297433538296,-0.04164103101647792,1.6152115345464626,0.02566282437476094,0.06761592042484875,-0.0828866619672489,0.12963274442664377,-0.04524202341104934,0.05853782356112567,0.03387474134583041
-0.3960732460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.051999999999999824,0.0,0.0,0.0,0.0,0.0,0.5754023275484643,-1.118746406886893,1.6849094051099731,-0.041982749403284586,1.6156544984495,0.025919165192725226,0.060293898796285,-0.07374326301851282,0.11529103384528867,-0.04019316330279594,0.05219850958058114,0.030207694237837143
-0.39568284607009474,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.04559999999999981,0.0,0.0,0.0,0.0,0.0,0.5758552878187322,-1.1192998496786628,1.6857745255540648,-0.04228420588224985,1.616046640635082,0.026146105682217553,0.05294139472862677,-0.06462069376764916,0.10099644560869248,-0.03517589807253036,0.04583292215857826,0.026524972597229725
-0.3953436460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.03919999999999979,0.0,0.0,0.0,0.0,0.0,0.5762493184057818,-1.119780386721214,1.6865254583780636,-0.04254563765241835,1.6163877636179416,0.02634352799091662,0.045562094637252,-0.05551639966938457,0.08674315953239357,-0.030186337853741696,0.03944424066071773,0.022828465221969144
-0.39505564607009475,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.032799999999999885,0.0,0.0,0.0,0.0,0.0,0.5765842197736608,-1.120188153986336,1.687162510746878,-0.04276725079666461,1.6166776954349835,0.026511329441541127,0.03815971055617234,-0.04642782283059789,0.07252536379902529,-0.025220593432811758,0.03303566577325168,0.019120076716087814
-0.3948188460700947,-0.38260035050602414,0.13797549214018928,1.8687249367515144,-1.0789088452748532,-0.6229083122505046,0.026399999999999868,0.0,0.0,0.0,0.0,0.0,0.576859822173331,-1.1205232669702672,1.6876859433597007,-0.04294922028608179,1.6169162898040201,0.026649422649666594,0.030737976585486965,-0.037352402314287776,0.05833725357499869,-0.02027477604853976,0.026610416538151344,0.015401725326825105
