x,y,z,rx,ry,rz,vx,vy,vz,vrx,vry,vrz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
-0.4432438422725438,-0.3840451794989859,0.1382324492883113,1.8713829983487855,-1.074667552940746,-0.6216459402238667,0.0061757263479703395,1.580894848781261e-05,4.234003331236267e-06,-8.084661134049632e-06,1.908894935980475e-06,-1.9310723382060012e-05,0.5237257815248321,-1.0473952366839576,1.5711175770114671,-0.00012354360824851085,1.5709063171503024,6.3502975055097e-05,0.006126752694918859,-0.009528164786976242,0.015481693148672013,-0.005952053683060303,0.005305923174706595,0.003063377392899857
-0.44318277660626,-0.3840450335455721,0.13823249450079406,1.871382839868372,-1.0746677422920294,-0.6216460141557372,0.008579634703370928,2.0377809767730312e-05,6.3928385652784376e-06,-1.106151563269207e-05,2.3713046722172865e-06,-2.6828402501323945e-05,0.5237863866296086,-1.04748943524066,1.5712706203700626,-0.00018237086184313966,1.5709588027063452,9.38055423132333e-05,0.008515980407344605,-0.0132339188783656,0.02150036000625596,-0.008263836689414278,0.007375054700490094,0.004257992525985662
-0.4430989719072683,-0.38404485147606804,0.1382325624188177,1.8713826256528294,-1.074668004000922,-0.6216461140554742,0.011139955067547789,2.409412785560296e-05,9.061165905004502e-06,-1.4108260303636808e-05,2.659274632135951e-06,-3.483647453155717e-05,0.5238696098294828,-1.0476186748028304,1.5714805648160253,-0.00026304524118181405,1.571030876102274,0.00013541717462734002,0.011064329391697261,-0.01717813809662487,0.02790416419713623,-0.010721748493404945,0.00958198895192797,0.005532169466313615
-0.44299258997028346,-0.3840446448814428,0.13823265651049055,1.871382358143057,-1.0746683387155358,-0.6216462387645447,0.014048268334189188,2.7278128477799856e-05,1.2423254359439577e-05,-1.7456955539560566e-05,2.8007962524297277e-06,-4.3934828787054424e-05,0.5239753278530184,-1.0477826786033937,1.5717469386585436,-0.00036536706618051085,1.5711224305781133,0.00018827624937307305,0.013962982991769792,-0.021655523211658218,0.03517127210763175,-0.013509059733831666,0.012092295344262597,0.006981500638390406
-0.44286093938106114,-0.3840444205107312,0.13823278297385858,1.8713820327381272,-1.0746687561454458,-0.621646390405989,0.01728892800558146,2.966314534014917e-05,1.6538704032399077e-05,-2.1062101259816148e-05,2.749315067785904e-06,-5.4075677923641485e-05,0.5241062603999631,-1.0479855624416778,1.5720764000197847,-0.0004918715851953692,1.5712358214566693,0.00025374263813191086,0.01719792204585136,-0.026640757982995006,0.0432596480686455,-0.01660885421330354,0.014893832613102778,0.008598977549821033
-0.44270146918681175,-0.3840441872370741,0.13823294845173528,1.871381645533691,-1.0746692657653494,-0.6216465707748999,0.020843825302895264,3.101600755531061e-05,2.1451688064435664e-05,-2.487898493264227e-05,2.463987106637172e-06,-6.520382756350449e-05,0.5242650008607423,-1.0482312151383084,1.5724752304108514,-0.0006449426972849892,1.5713732946704322,0.00033311306902494343,0.0207528482106254,-0.03210457779359117,0.052120741449004505,-0.020001625391599834,0.017972485542296607,0.010376452542049719
-0.44251178319324724,-0.38404395574022027,0.13823315989969936,1.8713811932995257,-1.0746698767409226,-0.6216467813495155,0.02469327381407457,3.114537292772126e-05,2.7189546868501028e-05,-2.886546344006702e-05,1.910971606948475e-06,-7.72594474066704e-05,0.5244540033830645,-1.048523275322875,1.5729492962620537,-0.0008267975082247858,1.5715369755597703,0.00042761466402849646,0.02461005199980249,-0.03801514174671358,0.061701723212385644,-0.02366614142948982,0.02131291667750737,0.01230507291340985
-0.44228964822476474,-0.3840437381407422,0.13823342444733777,1.8713806734357301,-1.0746705978702307,-0.6216470233122974,0.028816722833368783,2.9906271300178918e-05,3.3762374008335966e-05,-3.2983168963850173e-05,1.0640929976506522e-06,-9.018029701007152e-05,0.5246755758508233,-1.0488651175999273,1.5735040257509467,-0.0010394768109591723,1.5717288627910617,0.0005384014333429927,0.028751111110101233,-0.04433914184460368,0.07194729568126311,-0.027580146408527503,0.024899171060672347,0.014375630198404831
-0.44203300619175484,-0.3840435475508466,0.13823374922708212,1.8713800839221932,-1.0746714375038962,-0.6216472975743563,0.03319116786215208,2.7216513424875953e-05,4.115539837466371e-05,-3.719764802868203e-05,-9.195050575030311e-08,-0.00010389673695333952,0.5249318688346138,-1.0492598330349825,1.5741443765647103,-0.0012848322103202747,1.5719508187858902,0.0006665487564346518,0.03315525998575738,-0.051039390217848514,0.08279580535968863,-0.0317188927674864,0.028713264204352787,0.016577745043840544
-0.441740110327991,-0.3840433966076733,0.1382341406931218,1.8713794233485572,-1.0746724029431136,-0.6216476047667362,0.037765805631549305,2.325941274251668e-05,4.922657594078537e-05,-4.14744205721046e-05,-1.5205424487730462e-06,-0.00011825234094425124,0.5252247383120316,-1.0497100201524514,1.5748744975325628,-0.0015643970222321002,1.5722044508320994,0.0008129847464717553,0.03777362298874865,-0.05803614352732118,0.09411675978669228,-0.036031419380329985,0.03271286748050417,0.0188869833853746
-0.4414100253068569,-0.3840432929237334,0.13823460241946203,1.8713786911586576,-1.0746734982935024,-0.621647945145248,0.0424296301632657,1.8754697087341725e-05,5.757289895266223e-05,-4.5775547924210847e-05,-3.077811690680582e-06,-0.00013290210943930035,0.5255552373568197,-1.0502170215061248,1.5756964951734334,-0.0018789178992548727,1.572490670874995,0.0009782360903471126,0.04249602157914244,-0.06515785902316257,0.10563141985483245,-0.040410532386229575,0.0368025625907261,0.02124825901480339
-0.44104267511467693,-0.3840432372617034,0.1382351344597193,1.8713778874109839,-1.0746747241056334,-0.6216483187097809,0.0470785824025994,1.4543345047310956e-05,6.576514737218466e-05,-5.008413083643082e-05,-4.597313961553218e-06,-0.0001475222207441302,0.5259235623203926,-1.0507808545098367,1.5766103250490007,-0.0022283161877769686,1.572809648910058,0.0011624011363911958,0.047218594814011236,-0.07224416759097793,0.11707954896058692,-0.044756441621773335,0.04089240251872579,0.023609644236288252
-0.4406386715203958,-0.38404322387711465,0.13823573373189607,1.8713770124614346,-1.0746760779718405,-0.6216487253508455,0.05163235966647756,1.1378816644050113e-05,7.343994106029127e-05,-5.4398980935684016e-05,-5.930481763387341e-06,-0.00016186254213024914,0.5263292213790016,-1.051400477813674,1.5776142256772276,-0.002611855665463736,1.5731609589492683,0.001365234167270706,0.05186092433076569,-0.07917152177084119,0.12826083340764066,-0.04899247314957981,0.0449127421327709,0.025930932594017818
-0.4401991478268116,-0.38404324149259395,0.1382363945966273,1.8713760667738126,-1.0746775551708636,-0.6216491649339062,0.056030494705912995,9.878808344902888e-06,8.030912982521245e-05,-5.872529450764996e-05,-6.954937368370412e-06,-0.00017573435525522312,0.5267711987689863,-1.0520740489639486,1.5787051377612848,-0.0030283041990202264,1.5735437212531622,0.0015862275170701922,0.05636219527779641,-0.08584711559296776,0.13902497423322935,-0.0530612361717104,0.048810913460795954,0.02818171931438657
-0.4397256207889736,-0.3840432745350105,0.13823710947510792,1.871375050840534,-1.0746791492465286,-0.6216496373311083,0.06022896375858413,1.0500857820421244e-05,8.616222505440512e-05,-6.306841108310798e-05,-7.5786566829227214e-06,-0.00018899978124121627,0.5272480914148596,-1.0527991383738247,1.579879052231802,-0.0034760678698582126,1.573956720654423,0.0018246798846470104,0.06067786998660672,-0.09220362198474835,0.14926311280633373,-0.05692130711034305,0.05254834501071452,0.03033973812563283
-0.4392198768184345,-0.38404330446843066,0.13823786945880256,1.8713739651751504,-1.0746808525169056,-0.6216501424189336,0.0641972653459151,1.3536883513367788e-05,9.086341329086911e-05,-6.743008284354479e-05,-7.740815492728037e-06,-0.00020156271143486823,0.5277582217156891,-1.0535729056041596,1.5811312968887214,-0.0039533013613120005,1.5743985042339788,0.0020797527260360193,0.0647768186678782,-0.09819465816309023,0.1589004438520455,-0.06054437395213325,0.056098076883458206,0.03238942659494134
-0.4386838790313534,-0.3840433110982773,0.13823866487560474,1.8713728103464664,-1.0746826565128356,-0.6216506800564636,0.0679159160686081,1.9121580285385263e-05,9.434474061618454e-05,-7.180666525058443e-05,-7.4101927770488935e-06,-0.00021336106363543939,0.5282997298354909,-1.054392243279871,1.5824567703279881,-0.004457997973059236,1.574867461247074,0.002350516398800742,0.06863885574596505,-0.10379089651467152,0.1678898811686515,-0.06391278849377531,0.059442627177947176,0.03432069428921527
-0.4381196921013697,-0.38404327375960495,0.13823948578915465,1.8713715870316412,-1.0746845523470316,-0.6216512500551884,0.07137431418954805,2.72500317670187e-05,9.659691100637211e-05,-7.618868846358262e-05,-6.5819385671912756e-06,-0.0002243601988550746,0.5288706484580011,-1.0552538933492048,1.5838501308291084,-0.004988062236369828,1.575361887863052,0.002635987538542953,0.07225263472724743,-0.10897674544327866,0.17620665272517136,-0.06701747858699884,0.06257216889443257,0.03612787020634762
-0.43752942224477887,-0.3840431723347658,0.13824032241836556,1.8713702960725043,-1.0746865310170561,-0.6216518521480014,0.07456892624548575,3.780062919030366e-05,9.765890474974458e-05,-8.056134905524287e-05,-5.273392440344193e-06,-0.00023454734966802532,0.529468962614408,-1.0561545398297891,1.5853059469597273,-0.005541367746534576,1.575880038977945,0.002935158971886849,0.07561385866202218,-0.11374753142719828,0.18384371289422063,-0.06985617679873721,0.06548298014906524,0.037808808006079934
